,integrated_binnum,phi_binnum,phi_width
0,1,0,1
1,1,1,1
2,1,2,5
3,1,7,1
4,1,8,2
5,1,10,1
6,1,11,2
7,1,13,3
8,1,16,5
9,1,21,1
10,1,22,1
11,1,23,1
12,2,0,1
13,2,1,1
14,2,2,1
15,2,3,1
16,2,4,3
17,2,7,1
18,2,8,1
19,2,9,1
20,2,10,1
21,2,11,1
22,2,12,2
23,2,14,1
24,2,15,1
25,2,16,1
26,2,17,3
27,2,20,1
28,2,21,1
29,2,22,1
30,2,23,1
31,3,0,1
32,3,1,1
33,3,2,1
34,3,3,1
35,3,4,2
36,3,6,1
37,3,7,1
38,3,8,1
39,3,9,1
40,3,10,1
41,3,11,1
42,3,12,2
43,3,14,1
44,3,15,1
45,3,16,2
46,3,18,1
47,3,19,3
48,3,22,1
49,3,23,1
50,4,0,1
51,4,1,1
52,4,2,1
53,4,3,1
54,4,4,2
55,4,6,1
56,4,7,1
57,4,8,2
58,4,10,3
59,4,13,1
60,4,14,1
61,4,15,2
62,4,17,1
63,4,18,2
64,4,20,1
65,4,21,1
66,4,22,1
67,4,23,1
68,5,0,1
69,5,1,1
70,5,2,1
71,5,3,3
72,5,6,1
73,5,7,1
74,5,8,1
75,5,9,2
76,5,11,2
77,5,13,1
78,5,14,1
79,5,15,2
80,5,17,2
81,5,19,1
82,5,20,2
83,5,22,1
84,5,23,1
85,6,0,1
86,6,1,1
87,6,2,1
88,6,3,2
89,6,5,2
90,6,7,2
91,6,9,1
92,6,10,1
93,6,11,2
94,6,13,1
95,6,14,1
96,6,15,1
97,6,16,1
98,6,17,2
99,6,19,2
100,6,21,1
101,6,22,1
102,6,23,1
103,7,0,1
104,7,1,1
105,7,2,2
106,7,4,2
107,7,6,1
108,7,7,2
109,7,9,1
110,7,10,1
111,7,11,2
112,7,13,1
113,7,14,1
114,7,15,1
115,7,16,2
116,7,18,2
117,7,20,2
118,7,22,1
119,7,23,1
120,8,0,1
121,8,1,1
122,8,2,1
123,8,3,1
124,8,4,1
125,8,5,1
126,8,6,1
127,8,7,1
128,8,8,2
129,8,10,1
130,8,11,2
131,8,13,1
132,8,14,1
133,8,15,2
134,8,17,1
135,8,18,2
136,8,20,1
137,8,21,1
138,8,22,1
139,8,23,1
140,9,0,3
141,9,3,1
142,9,4,1
143,9,5,1
144,9,6,1
145,9,7,3
146,9,10,4
147,9,14,1
148,9,15,1
149,9,16,1
150,9,17,1
151,9,18,1
152,9,19,1
153,9,20,4
154,10,0,3
155,10,3,1
156,10,4,1
157,10,5,1
158,10,6,1
159,10,7,2
160,10,9,1
161,10,10,1
162,10,11,1
163,10,12,2
164,10,14,1
165,10,15,1
166,10,16,1
167,10,17,1
168,10,18,1
169,10,19,1
170,10,20,1
171,10,21,2
172,10,23,1
173,11,0,1
174,11,1,2
175,11,3,1
176,11,4,1
177,11,5,1
178,11,6,1
179,11,7,1
180,11,8,2
181,11,10,1
182,11,11,1
183,11,12,2
184,11,14,1
185,11,15,1
186,11,16,1
187,11,17,2
188,11,19,1
189,11,20,1
190,11,21,2
191,11,23,1
192,12,0,1
193,12,1,1
194,12,2,1
195,12,3,2
196,12,5,1
197,12,6,1
198,12,7,1
199,12,8,3
200,12,11,3
201,12,14,1
202,12,15,1
203,12,16,3
204,12,19,2
205,12,21,1
206,12,22,1
207,12,23,1
208,13,0,1
209,13,1,1
210,13,2,1
211,13,3,4
212,13,7,1
213,13,8,6
214,13,14,1
215,13,15,1
216,13,16,4
217,13,20,1
218,13,21,2
219,13,23,1
220,14,0,1
221,14,1,1
222,14,2,1
223,14,3,1
224,14,4,1
225,14,5,2
226,14,7,2
227,14,9,1
228,14,10,2
229,14,12,2
230,14,14,1
231,14,15,1
232,14,16,1
233,14,17,3
234,14,20,1
235,14,21,1
236,14,22,1
237,14,23,1
238,15,0,2
239,15,2,1
240,15,3,1
241,15,4,1
242,15,5,1
243,15,6,2
244,15,8,1
245,15,9,1
246,15,10,1
247,15,11,1
248,15,12,1
249,15,13,1
250,15,14,1
251,15,15,1
252,15,16,2
253,15,18,2
254,15,20,1
255,15,21,1
256,15,22,2
257,16,0,1
258,16,1,2
259,16,3,1
260,16,4,2
261,16,6,1
262,16,7,2
263,16,9,1
264,16,10,1
265,16,11,1
266,16,12,1
267,16,13,2
268,16,15,1
269,16,16,2
270,16,18,1
271,16,19,1
272,16,20,1
273,16,21,1
274,16,22,2
275,17,0,1
276,17,1,1
277,17,2,1
278,17,3,1
279,17,4,2
280,17,6,1
281,17,7,2
282,17,9,1
283,17,10,1
284,17,11,1
285,17,12,1
286,17,13,1
287,17,14,1
288,17,15,1
289,17,16,2
290,17,18,1
291,17,19,1
292,17,20,1
293,17,21,1
294,17,22,1
295,17,23,1
296,18,0,1
297,18,1,1
298,18,2,1
299,18,3,1
300,18,4,2
301,18,6,1
302,18,7,1
303,18,8,1
304,18,9,2
305,18,11,3
306,18,14,1
307,18,15,3
308,18,18,2
309,18,20,2
310,18,22,1
311,18,23,1
312,19,0,1
313,19,1,1
314,19,2,1
315,19,3,1
316,19,4,1
317,19,5,1
318,19,6,2
319,19,8,1
320,19,9,1
321,19,10,1
322,19,11,2
323,19,13,1
324,19,14,1
325,19,15,1
326,19,16,1
327,19,17,2
328,19,19,1
329,19,20,1
330,19,21,1
331,19,22,1
332,19,23,1
333,20,0,1
334,20,1,1
335,20,2,1
336,20,3,1
337,20,4,1
338,20,5,1
339,20,6,1
340,20,7,1
341,20,8,1
342,20,9,1
343,20,10,1
344,20,11,1
345,20,12,2
346,20,14,1
347,20,15,1
348,20,16,1
349,20,17,2
350,20,19,1
351,20,20,1
352,20,21,1
353,20,22,1
354,20,23,1
355,21,0,2
356,21,2,1
357,21,3,1
358,21,4,2
359,21,6,1
360,21,7,1
361,21,8,2
362,21,10,1
363,21,11,2
364,21,13,1
365,21,14,1
366,21,15,1
367,21,16,1
368,21,17,1
369,21,18,1
370,21,19,1
371,21,20,1
372,21,21,1
373,21,22,1
374,21,23,1
375,22,0,1
376,22,1,1
377,22,2,1
378,22,3,1
379,22,4,1
380,22,5,1
381,22,6,1
382,22,7,1
383,22,8,1
384,22,9,1
385,22,10,1
386,22,11,1
387,22,12,2
388,22,14,1
389,22,15,2
390,22,17,1
391,22,18,1
392,22,19,1
393,22,20,1
394,22,21,1
395,22,22,1
396,22,23,1
397,23,0,1
398,23,1,1
399,23,2,1
400,23,3,1
401,23,4,3
402,23,7,1
403,23,8,2
404,23,10,1
405,23,11,3
406,23,14,1
407,23,15,3
408,23,18,2
409,23,20,1
410,23,21,1
411,23,22,1
412,23,23,1
413,24,0,1
414,24,1,1
415,24,2,1
416,24,3,1
417,24,4,1
418,24,5,1
419,24,6,1
420,24,7,1
421,24,8,1
422,24,9,1
423,24,10,1
424,24,11,1
425,24,12,1
426,24,13,1
427,24,14,1
428,24,15,1
429,24,16,1
430,24,17,1
431,24,18,1
432,24,19,1
433,24,20,1
434,24,21,1
435,24,22,1
436,24,23,1
437,25,0,1
438,25,1,1
439,25,2,1
440,25,3,1
441,25,4,1
442,25,5,1
443,25,6,1
444,25,7,1
445,25,8,3
446,25,11,1
447,25,12,2
448,25,14,1
449,25,15,1
450,25,16,1
451,25,17,1
452,25,18,1
453,25,19,1
454,25,20,1
455,25,21,1
456,25,22,1
457,25,23,1
458,26,0,1
459,26,1,1
460,26,2,1
461,26,3,1
462,26,4,1
463,26,5,1
464,26,6,1
465,26,7,1
466,26,8,2
467,26,10,1
468,26,11,2
469,26,13,1
470,26,14,1
471,26,15,1
472,26,16,1
473,26,17,1
474,26,18,1
475,26,19,1
476,26,20,1
477,26,21,1
478,26,22,1
479,26,23,1
480,27,0,1
481,27,1,1
482,27,2,1
483,27,3,1
484,27,4,1
485,27,5,1
486,27,6,1
487,27,7,1
488,27,8,1
489,27,9,1
490,27,10,1
491,27,11,1
492,27,12,1
493,27,13,1
494,27,14,1
495,27,15,1
496,27,16,1
497,27,17,1
498,27,18,5
499,27,23,1
500,28,0,1
501,28,1,2
502,28,3,1
503,28,4,1
504,28,5,1
505,28,6,1
506,28,7,1
507,28,8,1
508,28,9,1
509,28,10,1
510,28,11,1
511,28,12,1
512,28,13,1
513,28,14,1
514,28,15,1
515,28,16,1
516,28,17,1
517,28,18,5
518,28,23,1
519,29,0,1
520,29,1,2
521,29,3,1
522,29,4,1
523,29,5,3
524,29,8,3
525,29,11,4
526,29,15,1
527,29,16,1
528,29,17,1
529,29,18,1
530,29,19,1
531,29,20,1
532,29,21,1
533,29,22,2
534,30,0,1
535,30,1,2
536,30,3,1
537,30,4,1
538,30,5,1
539,30,6,2
540,30,8,1
541,30,9,1
542,30,10,1
543,30,11,1
544,30,12,1
545,30,13,1
546,30,14,2
547,30,16,1
548,30,17,1
549,30,18,1
550,30,19,1
551,30,20,1
552,30,21,3
553,31,0,2
554,31,2,2
555,31,4,1
556,31,5,1
557,31,6,1
558,31,7,2
559,31,9,1
560,31,10,1
561,31,11,1
562,31,12,1
563,31,13,2
564,31,15,1
565,31,16,1
566,31,17,1
567,31,18,2
568,31,20,2
569,31,22,2
570,32,0,2
571,32,2,1
572,32,3,2
573,32,5,1
574,32,6,1
575,32,7,1
576,32,8,2
577,32,10,1
578,32,11,1
579,32,12,3
580,32,15,1
581,32,16,1
582,32,17,2
583,32,19,1
584,32,20,1
585,32,21,1
586,32,22,1
587,32,23,1
588,33,0,2
589,33,2,1
590,33,3,3
591,33,6,1
592,33,7,1
593,33,8,3
594,33,11,3
595,33,14,1
596,33,15,1
597,33,16,3
598,33,19,3
599,33,22,2
600,34,0,1
601,34,1,1
602,34,2,1
603,34,3,1
604,34,4,1
605,34,5,1
606,34,6,1
607,34,7,1
608,34,8,1
609,34,9,1
610,34,10,2
611,34,12,3
612,34,15,1
613,34,16,1
614,34,17,1
615,34,18,2
616,34,20,1
617,34,21,1
618,34,22,1
619,34,23,1
620,35,0,1
621,35,1,1
622,35,2,1
623,35,3,1
624,35,4,1
625,35,5,1
626,35,6,1
627,35,7,1
628,35,8,1
629,35,9,1
630,35,10,1
631,35,11,1
632,35,12,1
633,35,13,1
634,35,14,2
635,35,16,1
636,35,17,1
637,35,18,2
638,35,20,1
639,35,21,1
640,35,22,1
641,35,23,1
642,36,0,1
643,36,1,1
644,36,2,1
645,36,3,1
646,36,4,1
647,36,5,1
648,36,6,2
649,36,8,1
650,36,9,1
651,36,10,1
652,36,11,1
653,36,12,1
654,36,13,1
655,36,14,1
656,36,15,1
657,36,16,2
658,36,18,1
659,36,19,1
660,36,20,1
661,36,21,1
662,36,22,1
663,36,23,1
664,37,0,1
665,37,1,1
666,37,2,1
667,37,3,2
668,37,5,1
669,37,6,1
670,37,7,2
671,37,9,1
672,37,10,1
673,37,11,1
674,37,12,1
675,37,13,2
676,37,15,1
677,37,16,1
678,37,17,1
679,37,18,1
680,37,19,1
